,DC,DATE,FM.NO,PRODUCT,Customer,No of Articles,actual,RATE,AIR SUR,TAX RATE,Postage,Postage Franked,ST,Tax 18%,TAX ON SC18%,S.charge,SC Per article,Weight
0,129,01.12.2023,P850642,SPEED,CAMS HSBC,2,35,41,,,70,82.0,12.0,12.6,0.504,2.8,1.4,yes
1,129,01.12.2023,P850944,ORD,CAMS HSBC,771,10,10,,2.0,7710,9252.0,1542.0,1387.8,97.14599999999999,539.6999999999999,0.7,yes
2,129,01.12.2023,P850855,DPDA,CAMS HSBC,4,36,43,,,144,172.0,28.0,25.919999999999998,0.0,0.0,0.0,yes
3,129,01.12.2023,P850855,DPDA,CAMS HSBC,2,38,45,,,76,90.0,14.0,13.68,0.0,0.0,0.0,yes
4,129,01.12.2023,P850855,DPDA,CAMS HSBC,1,43,51,,,43,51.0,8.0,7.739999999999999,0.0,0.0,0.0,yes
5,129,01.12.2023,P850855,DPDA,CAMS HSBC,3,58,68,,,174,204.0,30.0,31.32,0.0,0.0,0.0,yes
6,129,01.12.2023,P850983,ORD,CAMS HSBC,50,5,5,,1.0,250,300.0,50.0,45.0,6.3,35.0,0.7,yes
7,129,01.12.2023,P850983,ORD,CAMS HSBC,634,10,10,,2.0,6340,7608.0,1268.0,1141.2,79.88399999999999,443.79999999999995,0.7,yes
8,129,02.12.2023,P850968,ORD,CAMS HSBC,4,10,10,,2.0,40,48.0,8.0,7.199999999999999,0.504,2.8,0.7,yes
9,129,02.12.2023,P850968,ORD,CAMS HSBC,1,15,15,,3.0,15,18.0,3.0,2.6999999999999997,0.126,0.7,0.7,yes
10,129,02.12.2023,P850968,ORD,CAMS HSBC,7,5,5,,1.0,35,42.0,7.0,6.3,0.8819999999999999,4.8999999999999995,0.7,yes
11,129,02.12.2023,P850478,ORD,CAMS HSBC,2410,10,10,,2.0,24100,28920.0,4820.0,4338.0,303.65999999999997,1687.0,0.7,yes
12,129,02.12.2023,P850864,SPEED,CAMS HSBC,2,35,41,,,70,82.0,12.0,12.6,0.504,2.8,1.4,yes
13,129,06.12.2023,P850983,ORD,CAMS HSBC,65,5,5,,1.0,325,390.0,65.0,58.5,8.19,45.5,0.7,yes
14,129,06.12.2023,P850983,ORD,CAMS HSBC,80,5,5,,1.0,400,480.0,80.0,72.0,10.08,56.0,0.7,yes
