"DEPARTMENT OF POSTS, INDIA"
"Business Post Centre, Anna Road, Chennai-600 002."
GST:33AAAGH0873D1ZV,PAN:AAAGH0873D
TO,Claim Bill No: A/640/01-24
The Manager,Date:18/07/2024
CAMS HSBC,Chennai 600 002
GST:654321,
PAN:,123456
BILL FOR THE MONTH OF : Jul-2024,
DETAILS,Count,Amount
Ordinary Articles Posted <10gm:,0,0
Ordinary Articles Posted >10gm:,0,0
Registered Articles Posted <10gm:,0,0
Registered Articles Posted >10gm:,0,0
Speed Articles Posted <10gm:,0,0
Speed Articles Posted <10gm:,0,0
Foreign Registered Articles Posted,12,8796.0
TOTAL NO: OF ARTICLES,0,4.999999999997376e+17
Opening Balance vide Bill/Invoice No:A/606/12-23,,0
Total amount @ credit,,4.999999999997376e+17
Postage (Ord+Reg+Speed),,8796.0
CGST @ 9%(As per Annexure),,0.0
SGST @ 9%(As per Annexure),,0.0
"Service Charge (Fkg, Spl Handling, Processing - As per Annexure)",,0.0
CGST @ 9% for Service charge,,0.0
SGST @ 9% for Service charge,,0.0
TOTAL,,8796.0
R/O TOTAL,,8796
CLOSING BALANCE ( A-B),,4.9999999999972883e+17
Terms & Conditions:,
1. Sufficient advance amount should be paid to pick up/process your mails without break.,
"2. Kindly issue Cheques/DD for the above amount in favour of 'The Chief Postmaster Anna Road HPO,",
"   Chennai-2' and forward the same  to Business Post Centre, Anna Road, Chennai-600 002.",
3. Advance payment may be made by ECS/NEFT with relevant details to the,
   e-mail id: cs.aspbpc@gmail.com & bpcannaroad@indiapost.gov.in,
4. No mails will be accepted without sufficient balance.,
* E&OE,
ACCOUNTANT,HSA
BPC Anna Road,BPC Anna Road
Chennai-600002,Chennai-600002
