"DEPARTMENT OF POSTS, INDIA"
"Business Post Centre, Anna Road, Chennai-600 002."
GST:33AAAGH0873D1ZV,PAN:AAAGH0873D
TO,Claim Bill No: A/640/01-24
The Manager,Date:17/03/2024
Amrit,Chennai 600 002
GST:fgg234,
PAN:,gdfge4564
BILL FOR THE MONTH OF : Mar-2024,
DETAILS,Count,Amount
Ordinary Articles Posted <10gm:,9.0,36.0
Ordinary Articles Posted >10gm:,10.0,26.0
Registered Articles Posted <10gm:,4.0,8.0
Registered Articles Posted >10gm:,0,0
Speed Articles Posted <10gm:,0,0
Speed Articles Posted <10gm:,0,0
BMS Posted,7.0,49.0
TOTAL NO: OF ARTICLES,30.0,119.0
Advance received vide CHQ/NEFT DT:0,,0
Opening Balance vide Bill/Invoice No:A/606/12-23,,0
Total amount @ credit,,235207.0
Postage (Ord+Reg+Speed),,119.0
CGST @ 9%(As per Annexure),,10.709999999999999
SGST @ 9%(As per Annexure),,10.709999999999999
"Service Charge (Fkg, Spl Handling, Processing - As per Annexure)",,97.7
CGST @ 9% for Service charge,,4.878
SGST @ 9% for Service charge,,4.878
TOTAL,,247.87599999999998
R/O TOTAL,,248
CLOSING BALANCE ( A-B),,234959.0
Terms & Conditions:,
1. Sufficient advance amount should be paid to pick up/process your mails without break.,
"2. Kindly issue Cheques/DD for the above amount in favour of 'The Chief Postmaster Anna Road HPO,",
"   Chennai-2' and forward the same  to Business Post Centre, Anna Road, Chennai-600 002.",
3. Advance payment may be made by ECS/NEFT with relevant details to the,
   e-mail id: cs.aspbpc@gmail.com & bpcannaroad@indiapost.gov.in,
4. No mails will be accepted without sufficient balance.,
* E&OE,
ACCOUNTANT,HSA
BPC Anna Road,BPC Anna Road
Chennai-600002,Chennai-600002
